,d
963,-35017.0
964,-34113.5
965,-34909.5
966,-39813.0
967,-45839.5
968,-48184.5
969,-50075.0
970,-50553.0
971,-50754.0
972,-50705.0
973,-49815.5
974,-49297.5
975,-48591.5
976,-49670.0
977,-53141.5
978,-53366.0
979,-50726.5
980,-47501.0
981,-44131.5
982,-40418.0
983,-37693.5
984,-37441.0
985,-36586.0
986,-35576.5
987,-35019.5
988,-33849.5
989,-33644.0
990,-35123.5
991,-37135.5
992,-40492.0
993,-44207.5
994,-45015.0
995,-44940.0
996,-44762.5
997,-43557.5
998,-42888.0
999,-42761.5
1000,-43946.5
1001,-48511.0
1002,-49557.5
1003,-47366.0
1004,-44269.5
1005,-41434.0
1006,-38884.0
1007,-36567.5
1008,-36534.5
1009,-35406.0
1010,-34439.0
1011,-33626.5
1012,-32444.5
1013,-31925.5
1014,-32421.0
1015,-32812.0
1016,-35396.5
1017,-39548.0
1018,-42574.5
1019,-44003.0
1020,-44671.5
1021,-44013.5
1022,-43570.5
1023,-43234.5
1024,-44107.0
1025,-47376.5
1026,-47856.0
1027,-45619.5
1028,-43397.0
1029,-40846.5
1030,-37531.5
1031,-34463.5
1032,-34320.5
1033,-33898.0
1034,-33273.5
1035,-32636.0
1036,-31604.5
1037,-32506.5
1038,-37141.0
1039,-41664.0
1040,-45194.5
1041,-47833.5
1042,-48362.5
1043,-48621.5
1044,-48779.5
1045,-48319.0
1046,-48140.5
1047,-47866.5
1048,-48668.5
1049,-51802.0
1050,-52113.5
1051,-49747.5
1052,-46534.0
1053,-42866.5
1054,-38744.5
1055,-34874.0
1056,-34597.5
1057,-34105.5
1058,-33369.0
1059,-32561.5
1060,-31708.5
1061,-32482.5
1062,-37072.0
1063,-41574.0
1064,-44771.5
1065,-47103.0
1066,-47368.5
1067,-47476.0
1068,-47245.0
1069,-46789.5
1070,-46623.0
1071,-46514.0
1072,-47574.5
1073,-51054.5
1074,-51688.0
1075,-49058.0
1076,-45661.5
1077,-41710.5
1078,-37774.0
1079,-34214.5
1080,-33799.0
1081,-33210.5
1082,-32474.5
1083,-31448.0
1084,-30581.5
1085,-31395.0
1086,-35764.0
1087,-40094.5
1088,-43283.5
1089,-45178.5
1090,-45247.0
1091,-45467.0
1092,-45483.5
1093,-45405.0
1094,-45296.0
1095,-45128.5
1096,-46173.5
1097,-49429.0
1098,-50295.0
1099,-48273.5
1100,-45331.0
1101,-41713.5
1102,-37678.5
1103,-34082.5
1104,-33749.5
1105,-33153.5
1106,-32304.0
1107,-31388.0
1108,-30422.5
1109,-31278.5
1110,-35738.5
1111,-40064.5
1112,-43161.0
1113,-44830.0
1114,-44886.0
1115,-44898.0
1116,-44767.0
1117,-44600.0
1118,-44628.0
1119,-44405.0
1120,-45443.0
1121,-48853.5
1122,-50116.5
1123,-47746.0
1124,-45004.0
1125,-41369.0
1126,-37407.0
1127,-33914.5
1128,-33447.0
1129,-32613.5
1130,-31569.0
1131,-30538.0
1132,-29527.0
1133,-30471.0
1134,-34809.5
1135,-39160.0
1136,-42501.5
1137,-44447.0
1138,-44752.0
1139,-44898.0
1140,-44762.0
1141,-44052.5
1142,-43577.5
1143,-43035.5
1144,-43912.5
1145,-46967.0
1146,-47985.5
1147,-45308.5
1148,-42021.0
1149,-38468.5
1150,-35121.5
1151,-32518.0
1152,-32181.0
1153,-30925.5
1154,-29602.5
1155,-28283.5
1156,-26946.0
1157,-26896.5
1158,-28747.0
1159,-30826.5
1160,-33926.0
1161,-37093.5
1162,-38310.5
1163,-38709.0
1164,-38748.5
1165,-37936.5
1166,-37575.0
1167,-37438.0
1168,-38593.5
1169,-42274.0
1170,-44397.5
1171,-42372.0
1172,-39557.5
1173,-36867.5
1174,-34347.0
1175,-32062.0
1176,-32168.5
1177,-31093.0
1178,-30091.0
1179,-29384.0
1180,-28096.0
1181,-27754.5
