,Z1_1,Z1_2,Z1_3,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
33,-24.07684787826177,-18.786549210019874,-195.22265177620378,-587.5239767406546,-4440.817854682586,-2587.9020672740453,-3347.689910906945,-5852.161410965688,-959.510303056377,-2146.371479327635,-1533.0915756300815,-363.8620427064351,-490.78754682848364,-62.95728816775996,-1270.6657780598505,-179.2466148353812,-1235.731035629563,-2697.8974558833506,-4231.197610440686
34,-25.914056577355517,-20.22007621526227,-210.11931748248253,-632.3555994867802,-4779.679039293049,-2785.3746024845727,-3603.1388408202174,-6298.7166206463635,-1032.7267259269493,-2310.152567834149,-1650.0757088312535,-391.62691099444083,-528.237596560877,-67.76130894647623,-1367.6252402326386,-192.9242125725832,-1330.0247662656461,-2903.7633026201634,-4554.063506208747
35,-26.799413351827287,-20.910897484563712,-217.2980685446786,-653.9601025181584,-4942.977332812121,-2880.5372516201874,-3726.240500823158,-6513.913010834084,-1068.0099553298076,-2389.0792005629887,-1706.450738454429,-405.0068902222921,-546.2848958422459,-70.07638199355992,-1414.3503165542136,-199.5154908639961,-1375.4652179955192,-3002.9707155453857,-4709.653618646792
36,-27.253298786841306,-21.26505269224356,-220.97831434238682,-665.0358287557634,-5026.693546578227,-2929.323166683382,-3789.349579685425,-6624.2352108670275,-1086.0981931882347,-2429.5415882277744,-1735.3518612359305,-411.8662466618868,-555.5369923092768,-71.26322323921677,-1438.3043113772994,-202.8945639121255,-1398.7606394519732,-3053.8302120450257,-4789.418169959967
37,-27.123670600874338,-21.163907130873266,-219.9272482585969,-661.8726378055998,-5002.784471535561,-2915.3900699534,-3771.325834528876,-6592.7275537382775,-1080.9322520056223,-2417.9856635202186,-1727.0977957172631,-409.90723704498197,-552.8946240178698,-70.92426528675344,-1431.4631293167145,-201.92951177410006,-1392.1075437767554,-3039.304907283401,-4766.63767670427
38,-27.13861333124517,-21.175566561578773,-220.048408614077,-662.2372707681546,-5005.540560877656,-2916.9961906139165,-3773.4034996766054,-6596.359560323725,-1081.5277495482865,-2419.3177585873723,-1728.0492730104813,-410.1330594792073,-553.1992197863316,-70.96333824957344,-1432.251738199779,-202.04075697733063,-1392.8744712321122,-3040.9792939994372,-4769.26367016314
39,-28.082620322422446,-21.91215109639934,-227.7027140715325,-685.2729581775608,-5179.656505064447,-3018.462863342059,-3904.659995384381,-6825.811576359322,-1119.148306806102,-2503.472864454789,-1788.1588510095382,-424.3993917613932,-572.4420574589135,-73.43177267572553,-1482.0721043873828,-209.06867269142367,-1441.3251132242597,-3146.758674785109,-4935.160806927249
40,-31.88928088439182,-24.882391068627896,-258.56831463008893,-778.1632053884229,-5881.770264962906,-3427.6221016086884,-4433.945191768327,-7751.065254001879,-1270.8513057998255,-2842.824082812125,-2030.5476914568628,-481.92765688029846,-650.0378294745882,-83.3856099541149,-1682.9702173480796,-237.4083882144184,-1636.699882476331,-3573.308690695665,-5604.13264057437
41,-34.175145062869795,-26.66599248080321,-277.10282000965776,-833.9429328352594,-6303.3830320697425,-3673.318409651231,-4751.7760177421615,-8306.671461410593,-1361.9475423888928,-3046.60132570992,-2176.0999303869103,-516.47284375592,-696.6333671550508,-89.36279644150103,-1803.6076612348807,-254.4261231786191,-1754.0206099594934,-3829.447998581505,-6005.843989945001
42,-33.36711691806707,-26.03550876540279,-270.55107378707106,-814.2254053851027,-6154.347500896007,-3586.4674349337897,-4639.4262748787205,-8110.270705302562,-1329.7460127693225,-2974.5682849535992,-2124.6487957561385,-504.2614956251848,-680.1623509754722,-87.24992597701073,-1760.9636358831647,-248.4105388139245,-1712.5490078110904,-3738.905536911776,-5863.843393656609
